timestamp_ns,message_id,mechanism,message_size,one_way_latency_ns,round_trip_latency_ns
1756407489279095948,0,Unix Domain Socket,65536,,347526
1756407489279325175,1,Unix Domain Socket,65536,,208543
1756407489279554225,2,Unix Domain Socket,65536,,213726
1756407489279773767,3,Unix Domain Socket,65536,,206124
1756407489279995804,4,Unix Domain Socket,65536,,207072
1756407489280222382,5,Unix Domain Socket,65536,,209100
1756407489280436858,6,Unix Domain Socket,65536,,200864
1756407489280672847,7,Unix Domain Socket,65536,,222523
1756407489280897553,8,Unix Domain Socket,65536,,210618
1756407489281143291,9,Unix Domain Socket,65536,,228171
1756407489281379286,10,Unix Domain Socket,65536,,215910
1756407489281619101,11,Unix Domain Socket,65536,,223849
1756407489281840584,12,Unix Domain Socket,65536,,206478
1756407489282074330,13,Unix Domain Socket,65536,,221206
1756407489282297392,14,Unix Domain Socket,65536,,208876
1756407489282525558,15,Unix Domain Socket,65536,,215074
1756407489282747444,16,Unix Domain Socket,65536,,208629
1756407489282968724,17,Unix Domain Socket,65536,,208931
1756407489283189051,18,Unix Domain Socket,65536,,207247
1756407489283411648,19,Unix Domain Socket,65536,,210353
1756407489283633837,20,Unix Domain Socket,65536,,209043
1756407489283855119,21,Unix Domain Socket,65536,,208570
1756407489284082503,22,Unix Domain Socket,65536,,214581
1756407489284303185,23,Unix Domain Socket,65536,,208795
1756407489284523152,24,Unix Domain Socket,65536,,207206
1756407489284735327,25,Unix Domain Socket,65536,,199105
1756407489284942316,26,Unix Domain Socket,65536,,194429
1756407489285152409,27,Unix Domain Socket,65536,,197536
1756407489285361321,28,Unix Domain Socket,65536,,196435
1756407489285588705,29,Unix Domain Socket,65536,,213392
1756407489285817707,30,Unix Domain Socket,65536,,216448
1756407489286036206,31,Unix Domain Socket,65536,,205238
1756407489286262141,32,Unix Domain Socket,65536,,213658
1756407489286486764,33,Unix Domain Socket,65536,,211469
1756407489286711570,34,Unix Domain Socket,65536,,212383
1756407489286936947,35,Unix Domain Socket,65536,,212313
1756407489287163422,36,Unix Domain Socket,65536,,214436
1756407489287389911,37,Unix Domain Socket,65536,,213407
1756407489287618379,38,Unix Domain Socket,65536,,216174
1756407489287846474,39,Unix Domain Socket,65536,,214886
1756407489288072357,40,Unix Domain Socket,65536,,213364
1756407489288300046,41,Unix Domain Socket,65536,,214787
